ecosystem,package,version,category,direct_dependencies,fan_in_local,fan_out,bottleneck_score,page_rank,betweenness_centrality,eigenvector_centrality,blast_radius_pkg,libyears,transitive_depth,diamond_count,global_fan_in,monthly_downloads,scorecard_score,method_count,class_count,module_count,edge_count,resolution_rate,total_loc,file_count,is_bundled
npm,express,5.1.0,high-impact,27.0,1.0,27.0,13230.0,0.0006647157159704884,0.009257626520895785,0.02423411590114015,106.0,64.38,10.0,7.0,490.0,396026183.0,8.9,167,0,7,160,1.0,2005,7,False
npm,lodash,4.17.21,high-impact,0.0,18.0,0.0,0.0,0.0025891996724796986,0.0,0.050255329590228055,0.0,0.0,0.0,0.0,29123.0,579057868.0,7.1,2155,0,1047,2428,0.575,15191,1047,False
npm,axios,1.7.9,high-impact,3.0,0.0,3.0,2646.0,0.0006126399215444398,0.0,0.0003821199045095354,37.0,40.03,3.0,0.0,882.0,429181081.0,7.1,4142,16,67,5334,0.655,48573,67,False
npm,debug,4.4.0,high-impact,1.0,22.0,1.0,1574.0,0.0026989243970713655,0.012009087958455046,0.030425446308202465,1.0,4.72,1.0,0.0,1574.0,2428482376.0,,53,0,4,110,0.109,867,4,False
npm,chalk,5.4.1,high-impact,0.0,29.0,0.0,0.0,0.002601130646549511,0.08791579969482592,0.18403679207166693,10.0,0.0,0.0,0.0,988.0,1822169527.0,3.8,45,1,9,43,0.956,494,9,False
npm,semver,7.7.1,high-impact,0.0,14.0,0.0,0.0,0.0029666526571887094,0.027327327327327327,0.04184399782329274,4.0,0.0,0.0,0.0,1558.0,2756767414.0,6.0,184,4,48,163,0.694,2473,48,False
npm,minimatch,10.0.1,high-impact,1.0,8.0,1.0,367.0,0.0010982388639911647,0.08008230452674898,0.03856104499429858,35.0,13.79,2.0,0.0,367.0,2344067930.0,,346,8,24,376,0.876,4454,24,False
npm,qs,6.14.0,high-impact,1.0,3.0,1.0,280.0,0.0006849777872851741,0.11954022988505747,0.001958771269172536,26.0,2.82,8.0,0.0,280.0,644571798.0,5.2,830,0,7,1017,0.912,2683,7,False
npm,commander,13.1.0,high-impact,0.0,6.0,0.0,0.0,0.0009221283465043728,0.05052790346907994,0.01687579113538661,5.0,0.0,0.0,0.0,12742.0,1499227693.0,6.8,417,13,9,689,0.864,3933,9,False
npm,glob,11.0.1,high-impact,6.0,8.0,6.0,1734.0,0.0010238553345749597,0.17915862137735353,0.07741805737966234,64.0,79.76,6.0,1.0,289.0,1371571216.0,,1361,38,30,986,0.54,3435,30,False
npm,ws,8.18.1,high-impact,0.0,1.0,0.0,0.0,0.0006144356385936138,0.06666666666666668,0.020038295529624495,14.0,0.0,0.0,0.0,406.0,795570815.0,5.4,281,10,16,226,0.873,4747,16,False
