root_package,root_version,root_ecosystem,analyzed_deps,total_deps,coverage_pct,method_name,method_module,method_qualified_name,dependency_package,dependency_version,dependency_ecosystem,complexity,method_blast_radius,method_centrality,change_frequency,method_composite_risk,ecosystem_fan_in,bottleneck_score,cross_level_risk,cl_risk_log10,cl_risk_log2,cl_risk_sqrt,cl_risk_linear
express,5.1.0,npm,10,45,22.2,readStream,index.js,readStream,raw-body,3.0.2,npm,26,5,0.064103,0,8.33339,63898,4.0,40.0461,40.04605615828394,133.0301190416405,2106.518801109405,532486.95422
express,5.1.0,npm,10,45,22.2,typeis,index.js,typeis,type-is,2.0.1,npm,11,4,0.133333,0,5.866652,59995,6.0,28.0316,28.03158072673083,93.11889556023026,1436.970512334124,351969.78674
express,5.1.0,npm,10,45,22.2,next,index.js,next,router,2.2.0,npm,26,9,0.019133,0,4.4771220000000005,57674,3.0,21.3155,21.31552233998324,70.80863251838954,1075.19928143109,258213.53422800003
express,5.1.0,npm,10,45,22.2,compile,index.js,compile,proxy-addr,2.0.7,npm,6,6,0.109091,0,3.927276,261831,2.0,21.2781,21.278070607861007,70.6842205572505,2009.5645263216263,1028282.602356
express,5.1.0,npm,10,45,22.2,alladdrs,index.js,alladdrs,proxy-addr,2.0.7,npm,5,8,0.072727,0,2.90908,261831,2.0,15.7615,15.761461543297772,52.358441917167596,1488.5594932038687,761687.32548
express,5.1.0,npm,10,45,22.2,pipe,index.js,pipe,send,1.2.1,npm,13,14,0.013462,0,2.450084,59672,16.0,11.7011,11.701056952012737,38.870069828768194,598.5029167984444,146201.412448
express,5.1.0,npm,10,45,22.2,error,index.js,error,send,1.2.1,npm,5,6,0.046474,0,1.3942200000000002,59672,16.0,6.6585,6.658485024854332,22.119008473450382,340.57801147174024,83195.89584000001
express,5.1.0,npm,10,45,22.2,done,index.js,done,raw-body,3.0.2,npm,4,3,0.115385,0,1.38462,63898,4.0,6.6538,6.653783187620297,22.103389308245053,350.00498745313786,88474.44876
express,5.1.0,npm,10,45,22.2,next,index.js,next,send,1.2.1,npm,5,8,0.017308,0,0.69232,59672,16.0,3.3064,3.306366536419755,10.983511889328202,169.1189115793169,41312.119040000005
express,5.1.0,npm,10,45,22.2,parseipNotation,index.js,parseipNotation,proxy-addr,2.0.7,npm,14,1,0.036364,0,0.509096,261831,2.0,2.7583,2.758293696236172,9.162853323477648,260.5014931703895,133297.114776
express,5.1.0,npm,10,45,22.2,attachListener,index.js,attachListener,on-finished,2.4.1,npm,3,4,0.030303,0,0.363636,299023,2.0,1.9912,1.9911638439916906,6.614503114879914,198.84705762101538,108735.52762800001
express,5.1.0,npm,10,45,22.2,compileTrust,index.js,compileTrust,proxy-addr,2.0.7,npm,3,2,0.054545,0,0.32727,261831,2.0,1.7732,1.7731562965869148,5.890297718258501,167.46217544406827,85689.43137
express,5.1.0,npm,10,45,22.2,invokeCallback,index.js,invokeCallback,raw-body,3.0.2,npm,2,2,0.089744,0,0.358976,63898,4.0,1.7251,1.7250570362692896,5.730515434066081,90.7421461310523,22937.848448
express,5.1.0,npm,10,45,22.2,attachFinishedListener,index.js,attachFinishedListener,on-finished,2.4.1,npm,5,2,0.030303,0,0.30303,299023,2.0,1.6593,1.659303203326409,5.512085929066594,165.70588135084617,90612.93969
express,5.1.0,npm,10,45,22.2,compileRangeSubnets,index.js,compileRangeSubnets,proxy-addr,2.0.7,npm,2,2,0.054545,0,0.21818,261831,2.0,1.1821,1.1821041977246098,3.9268651455056673,111.64145029604552,57126.287580000004
express,5.1.0,npm,10,45,22.2,tryNormalizeType,index.js,tryNormalizeType,type-is,2.0.1,npm,3,1,0.066667,0,0.200001,59995,6.0,0.9556,0.9556292374129048,3.174531612057714,48.98799851045147,11999.059995000001
express,5.1.0,npm,10,45,22.2,sendIndex,index.js,sendIndex,send,1.2.1,npm,5,9,0.003846,0,0.17307,59672,16.0,0.8265,0.8265438763262176,2.7457193244251674,42.2772851095337,10327.43304
express,5.1.0,npm,10,45,22.2,processParams,index.js,processParams,router,2.2.0,npm,17,2,0.005102,0,0.17346799999999998,57674,3.0,0.8259,0.8258789975507059,2.7435106449411015,41.65905439952011,10004.593432
express,5.1.0,npm,10,45,22.2,onStatError,index.js,onStatError,send,1.2.1,npm,4,7,0.004487,0,0.125636,59672,16.0,0.6,0.6000096287405134,1.9931888429160474,30.690177338772614,7496.951392
express,5.1.0,npm,10,45,22.2,trySendOptionsResponse,index.js,trySendOptionsResponse,router,2.2.0,npm,2,11,0.004677,0,0.102894,57674,3.0,0.4899,0.48987705844295404,1.6273363634824274,24.710417733439147,5934.308556
express,5.1.0,npm,10,45,22.2,stream,index.js,stream,send,1.2.1,npm,1,15,0.005128,0,0.07692,59672,16.0,0.3674,0.36735283392276336,1.220319699744519,18.78990449312609,4589.970240000001
express,5.1.0,npm,10,45,22.2,dispatch,lib/route.js,dispatch,router,2.2.0,npm,16,3,0.001276,0,0.061248,57674,3.0,0.2916,0.2916009687203729,0.9686774504885777,14.708959369231257,3532.417152
express,5.1.0,npm,10,45,22.2,redirect,index.js,redirect,send,1.2.1,npm,3,9,0.002244,0,0.060588,59672,16.0,0.2894,0.2893548297154497,0.9612159382231008,14.800347548485746,3615.4071360000003
express,5.1.0,npm,10,45,22.2,trimPrefix,index.js,trimPrefix,router,2.2.0,npm,9,12,0.000425,0,0.045899999999999996,57674,3.0,0.2185,0.2185293309865647,0.7259387241612087,11.02307397870485,2647.2365999999997
express,5.1.0,npm,10,45,22.2,next,lib/route.js,next,router,2.2.0,npm,12,2,0.001701,0,0.040824,57674,3.0,0.1944,0.1943625579127564,0.6456584417245574,9.804051679883374,2354.483376
express,5.1.0,npm,10,45,22.2,createClientErrorConstructor,index.js,createClientErrorConstructor,http-errors,2.0.1,npm,2,2,0.00641,0,0.02564,288746,9.0,0.14,0.1400076682058223,0.4650954065125893,13.777677321000082,7403.44744
express,5.1.0,npm,10,45,22.2,createServerErrorConstructor,index.js,createServerErrorConstructor,http-errors,2.0.1,npm,2,2,0.00641,0,0.02564,288746,9.0,0.14,0.1400076682058223,0.4650954065125893,13.777677321000082,7403.44744
express,5.1.0,npm,10,45,22.2,param,index.js,param,router,2.2.0,npm,9,1,0.002976,0,0.026784,57674,3.0,0.1275,0.1275182919639248,0.4236065966870112,6.432287874632477,1544.7404159999999
express,5.1.0,npm,10,45,22.2,parse,lib/types/json.js,parse,body-parser,2.2.2,npm,6,3,0.001075,0,0.01935,59071,5.0,0.0923,0.09232623541143961,0.30670111530844574,4.702925844354767,1143.02385
express,5.1.0,npm,10,45,22.2,isPreconditionFailure,index.js,isPreconditionFailure,send,1.2.1,npm,8,2,0.000962,0,0.015392,59672,16.0,0.0735,0.07350877300752956,0.2441908582744102,3.7599351268616323,918.471424
express,5.1.0,npm,10,45,22.2,matcher,lib/layer.js,matcher,router,2.2.0,npm,8,2,0.00085,0,0.0136,57674,3.0,0.0647,0.06474943140342658,0.21509295530702482,3.266095993690326,784.3664
express,5.1.0,npm,10,45,22.2,queryparse,lib/types/urlencoded.js,queryparse,body-parser,2.2.2,npm,6,2,0.001075,0,0.0129,59071,5.0,0.0616,0.061550823607626405,0.20446741020563047,3.1352838962365115,762.0159
express,5.1.0,npm,10,45,22.2,contentstream,lib/read.js,contentstream,body-parser,2.2.2,npm,5,1,0.001075,0,0.005375,59071,5.0,0.0256,0.02564617650317767,0.08519475425234603,1.3063682900985463,317.506625
express,5.1.0,npm,10,45,22.2,matchLayer,index.js,matchLayer,router,2.2.0,npm,2,1,0.002551,0,0.005102,57674,3.0,0.0243,0.024290558751491352,0.08069148955709123,1.2252663058682385,294.252748
express,5.1.0,npm,10,45,22.2,paramCallback,index.js,paramCallback,router,2.2.0,npm,7,1,0.000425,0,0.0029749999999999998,57674,3.0,0.0142,0.014163938119499564,0.04705158397341168,0.7144584986197589,171.58014999999997
express,5.1.0,npm,10,45,22.2,isRangeFresh,index.js,isRangeFresh,send,1.2.1,npm,4,1,0.000321,0,0.001284,59672,16.0,0.0061,0.006132098787790277,0.02037039124378526,0.3136536319445385,76.618848
express,5.1.0,npm,10,45,22.2,notModified,index.js,notModified,send,1.2.1,npm,1,1,0.000641,0,0.000641,59672,16.0,0.0031,0.003061273616023028,0.010169330831204323,0.1565825374427174,38.249752
express,5.1.0,npm,10,45,22.2,clearHeaders,index.js,clearHeaders,send,1.2.1,npm,1,0,0.0,0,0.0,59672,16.0,0.0,0.0,0.0,0.0,0.0
