root_package,K,precision_cross_level,precision_method_only,precision_ecosystem_only,n_vuln_deps,n_total_methods
express,3,0.0,0.0,0.0,3,50
express,5,0.0,0.0,0.0,3,50
express,10,0.0,0.0,0.0,3,50
axios,3,0.3333,0.6667,0.0,3,50
axios,5,0.6,0.6,0.0,3,50
axios,10,0.7,0.7,0.0,3,50
minimatch,3,1.0,1.0,0.0,2,26
minimatch,5,1.0,1.0,0.0,2,26
minimatch,10,1.0,1.0,0.4,2,26
qs,3,0.0,0.0,0.0,1,47
qs,5,0.0,0.0,0.0,1,47
qs,10,0.0,0.0,0.0,1,47
glob,3,1.0,0.6667,0.0,4,50
glob,5,0.8,0.4,0.0,4,50
glob,10,0.4,0.4,0.0,4,50
yargs,3,0.0,0.0,0.0,1,50
yargs,5,0.0,0.0,0.0,1,50
yargs,10,0.0,0.0,0.0,1,50
requests,3,0.6667,0.6667,1.0,4,50
requests,5,0.8,0.6,1.0,4,50
requests,10,0.6,0.6,1.0,4,50
fastapi,3,0.3333,1.0,0.0,2,50
fastapi,5,0.4,0.8,0.0,2,50
fastapi,10,0.4,0.7,0.0,2,50
httpx,3,0.6667,0.6667,1.0,1,50
httpx,5,0.6,0.6,1.0,1,50
httpx,10,0.5,0.5,0.9,1,50
body-parser,3,0.3333,0.3333,0.0,2,50
body-parser,5,0.2,0.4,0.0,2,50
body-parser,10,0.2,0.3,0.0,2,50
